RAND_ID,V1,V2,V3,V4,V5,V7,V10,Q47,Q35,Q35_TEXT,Q25,Q31,Q32,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_6_TEXT,Q30_7,Q30_8,Q39,Q43,Q50_4,Q50_5,Q50_6,Q50_7,Q50_8,Q50_9,Q50_10,Q50_11,Q50_16,Q22_1,Q22_2,Q22_3,Q22_5,Q22_5_TEXT,Q1,Q40_1,Q40_2,Q40_3,Q48_1,Q48_2,Q48_3,Q26,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_7,Q34_7_TEXT,Q44,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_10,Q36_11,Q27,Q49,Q45,Q21_Tool_Count,Q21,Q41,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_7_TEXT,Q20,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,,,,
,R_Q4EmL4U4DRw6FEd,Default Response Set,Anonymous,,,1,1,1,1,,1,3,2,1,,,1,,,,,1,3,1,38,40,40,39,37,37,39,39,39,1,1,1,,,1,2,3,4,,,,1,1,1,1,,,,,1,16,16,14,16,15,17,17,15,16,16,1,Yada fajnafsdmldadgvsv / sfdmgnb / sfldknkladb,1,6,git diff / sublime / Github Desktop / squash / rebase / log,3,25,24,24,23,23,25,,,3,4,4,4,2,5,2,,,,
,R_1Q3GAZ3MxZ3DJGt,Default Response Set,Anonymous,,,0,1,1,1,,2,2,2,1,,,,,,,,,2,1,37,38,38,37,37,36,37,37,39,,,1,,,1,2,3,4,,,,3,,,,,,,,1,15,16,16,15,17,16,16,14,14,15,,,1,1,diff,2,24,23,22,22,22,25,,,3,2,4,4,4,3,2,,,,
,R_2a8kwBUWytXyScs,Default Response Set,Anonymous,,,0,1,1,1,,3,2,2,1,1,1,1,1,,,1,1,5,1,36,38,39,38,38,36,39,37,38,,,,,,,,,,,,,2,1,,,,,,,1,16,16,17,16,15,15,17,14,13,16,2,,1,4,"textmate, gitup, wercker, sourcetree ",2,26,26,26,25,24,25,,,5,3,4,4,3,4,2,,,,
,R_3M5VC8CdvskLXzz,Default Response Set,Anonymous,,,0,1,1,1,,3,2,5,1,,,,,,,,,2,1,37,39,37,36,37,37,38,39,37,1,,,,,1,1,2,4,,,,3,,,,,,,,1,14,15,14,15,15,15,13,14,15,14,,,1,3,Git and any editor. Usually sublime or eclipse ,1,25,24,24,23,22,22,,,3,2,4,5,4,4,4,,,,
,R_1LUWXDK3sInDNzM,Default Response Set,Anonymous,,,0,1,1,1,,1,1,2,1,,,,,,,,,2,1,37,39,37,39,37,38,37,38,37,,,1,,,2,,,,1,2,4,1,,,,,,1,"Not having tools that allow me to place my changes on top of other people's changes.Git allows me to rebase my working branches on top of master, thus keeping all my changes grouped and top of the rest of history (which I don't care that much about, as long as it just works or does not conflict with me)",1,15,16,17,14,17,17,16,16,16,15,,,1,3,Beyond Compare / gitk / terminal,4,26,25,24,24,22,26,,,3,3,3,4,5,4,3,,,,
,R_2S8NETv85NgOw5K,Default Response Set,Anonymous,,,0,1,1,2,,1,1,5,1,,,,,1,QA Engineer,,,2,1,37,38,38,37,39,36,37,39,38,1,1,1,,,1,1,3,4,,,,3,,,,,,,,1,16,17,16,16,17,17,16,16,17,15,,,1,4,"Git, vim, vim-fugative, occasionally turn to GitHub to see actually pull requests if merge conflict is particularly confusing/difficult.",1,26,26,25,25,26,26,,,5,3,2,1,1,3,2,,,,
,R_9tb2iP5ya7JGNLb,Default Response Set,Anonymous,,,0,1,1,1,,1,2,2,1,1,1,1,1,,,1,1,5,1,39,37,40,37,39,36,40,38,39,,,1,,,1,2,3,4,,,,3,,,,,,,,1,16,15,13,15,16,13,15,16,16,17,2,,1,4,"My editor, sometimes source tree, I have used diffmerge before and there is a merge resolution plugin for atom I use sometimes... Typically I just use my editor though... ",3,26,25,24,23,23,25,,,4,4,4,3,2,3,2,,,,
,R_5yUeeJcxLx5MDg9,Default Response Set,Anonymous,,,0,1,1,2,,1,2,3,1,,,,,,,,,5,1,36,38,39,37,38,37,38,38,40,1,,,,,3,,,,,,,3,,,,,,,,1,14,14,15,16,16,15,16,14,16,14,,,1,1,Eclipse. I suck at knowing what it is trying to tell me. ,2,24,24,23,23,24,23,,,4,5,5,4,3,3,4,,,,
,R_1jD7vEfjliZyPQQ,Default Response Set,Anonymous,,,0,1,1,1,,6,3,2,1,1,1,1,1,,,1,1,3,1,38,39,39,37,37,36,39,38,40,1,,1,,,2,,,,2,3,4,2,,1,,,,1,"In some cases my 'usual' development practices can be in conflict with someone else's 'usual' practices.  That's why I selected team awareness issues.  I have a habit of making voluminous comments which throws people into a tizzy because it can show interesting variances in git and SVN.  When I explain my purposes (make others aware) it not only makes more sense to others, but can even get them to be more aware of what they're doing.  Good for the team...",1,15,17,17,17,16,15,15,16,17,17,2,,1,1,"git or SVN / communication, communication, communication / some minor before/after testing / peer review when 'personal' conflicts arise / project management review when peer review fails / non-violent communication/ego-less skills / when all else fails, a large caliber handgun.  ;-) / a technique  / ",3,26,25,25,24,23,22,,It's difficult to know exactly what is meant by small/large/simple/complex. Those are objective terms...,4,2,2,4,1,1,2,,,,
,R_DHQv7ZGCeHfLCO5,Default Response Set,Anonymous,,,0,1,1,1,,6,1,5,1,,,,,1,Concurrency shaman,,,5,1,37,38,39,36,39,37,38,40,39,,,1,,,2,,,,2,3,5,3,,,,,,,,1,16,16,16,15,15,17,15,16,17,16,,,1,2,gitk / git merge display of conflict / Avoid conflicts by making small atomic changes.,2,26,26,24,24,23,25,,,3,2,2,2,2,2,2,,,,
,R_0GJJ7zk7RkIB69P,Default Response Set,Anonymous,,,0,0,1,1,,1,2,2,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_3qfh4Nshxa5ZUTx,Default Response Set,Anonymous,,,0,0,1,1,,1,2,5,1,,,,,,,,,5,1,38,39,39,39,38,37,39,38,39,,,1,,,2,,,,2,3,4,1,,1,1,1,,,,1,17,16,17,15,17,15,16,15,15,16,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2YhnmA1yl3vm5yB,Default Response Set,Anonymous,,,0,0,1,1,,1,2,2,1,1,1,,1,,,,,5,1,37,37,37,37,37,37,38,36,38,1,1,,,,2,,,,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1Ige3izQDYi2Zf2,Default Response Set,Anonymous,,,0,0,1,1,,1,2,3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_0IJ24Ak8fjYOeqZ,Default Response Set,Anonymous,,,0,0,1,1,,3,2,2,1,,,,,,,,,5,1,36,38,39,39,39,37,40,39,39,1,,,,,1,2,3,4,,,,3,,,,,,,,1,16,17,17,17,17,17,16,16,16,17,,,,,,,,,,,,,,,,,,,,,,,,,
,R_Oa2DV7JJJEIGGmB,Default Response Set,Anonymous,,,0,0,1,1,,2,2,2,1,,,1,,,,,,2,1,39,39,39,37,38,36,37,38,38,,,1,,,1,2,3,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1ovGLaJonDz8x28,Default Response Set,Anonymous,,,0,1,1,1,,3,2,3,1,1,,,1,,,1,1,2,1,36,38,40,37,40,37,36,37,37,1,1,1,,,2,,,,1,2,4,2,,,1,1,,1,"Fast moving vs slow moving code changes. for some large refactors, the day to day stuff can make the larger refactor almost impossible.",1,14,14,15,14,17,17,13,13,13,14,2,,1,2,Visual Studio and diffuse,2,26,26,26,26,26,26,26,3-way merge to do on the fly code editing,5,1,4,3,5,3,1,,,,
,R_3NWdAhzFu4diF5k,Default Response Set,Anonymous,,,0,1,1,1,,1,2,2,1,,,,,,,,1,5,1,38,38,37,38,38,36,37,37,40,1,1,,,,1,1,2,3,,,,2,,1,1,,,,,1,17,15,13,15,14,13,14,15,13,17,,,1,1,git diff,3,26,26,24,23,24,24,,,4,2,2,5,5,2,1,,,,
,R_1K2UsClW3H2U51N,Default Response Set,Anonymous,,,0,1,1,1,,1,2,2,1,,,,,,,,,5,1,40,39,39,37,38,37,39,38,40,,,1,,,1,1,2,4,,,,3,,,,,,,,1,17,15,13,14,15,13,13,14,14,17,,,1,2,"vimdiff, git",1,26,25,25,23,24,26,,,4,2,2,3,3,4,2,,,,
,R_1n3bAAAxUv0X4Il,Default Response Set,Anonymous,,,0,1,1,1,,1,2,3,1,,,,,,,,,6,1,38,38,37,37,37,38,38,37,38,,1,1,,,1,1,2,3,,,,3,,,,,,,,1,16,15,16,14,15,16,13,14,14,17,,,1,2,"git, vim",2,24,24,23,23,23,23,,,3,3,4,3,4,3,2,,,,
,R_W3CmhWMal6Dubpn,Default Response Set,Anonymous,,,0,1,1,1,,1,2,2,1,,,,,,,,,4,1,36,39,38,39,38,36,36,36,37,1,,,,,1,1,2,3,,,,3,,,,,,,,1,16,16,14,14,15,15,15,15,15,15,,,1,1,Basic git merge conflict annotation.,1,25,24,25,24,24,24,,,4,1,1,1,1,1,1,,,,
,R_1M5po2XmFg2sNMc,Default Response Set,Anonymous,,,0,1,1,5,,3,2,3,1,,,,,,,,,6,1,38,37,39,38,39,36,40,38,40,,,1,,,1,3,3,4,,,,3,,,,,,,,1,16,17,14,15,15,14,15,17,17,17,,,1,4,"git, diff, proprietary tools",1,25,25,24,24,24,25,,,4,2,2,2,2,2,2,,,,
,R_2R1VSkhgOww75Py,Default Response Set,Anonymous,,,0,1,1,1,,2,2,3,1,,,1,,,,1,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,R_3Pzwb5Q8Mo3HVNR,Default Response Set,Anonymous,,,0,1,1,1,,1,2,2,1,,,,,,,,1,4,1,37,37,38,37,39,38,39,40,39,,1,,,,1,1,2,2,,,,3,,,,,,,,1,15,17,14,15,15,16,14,15,14,17,,,1,4,"diff, 'git status', IDE or text editor",3,26,26,26,25,24,26,,,4,3,3,3,4,3,2,,,,
,R_0fGp6CyGw5q0xAl,Default Response Set,Anonymous,,,0,1,1,1,,6,2,4,1,,1,1,1,,,1,,2,1,38,38,39,39,39,38,37,38,38,,1,1,,,1,2,3,5,,,,2,1,1,1,1,,1,bad continuous integration setup encouraging fewer/larger merges,1,15,17,15,17,15,16,17,17,16,16,1,"if version of dependency is fixed in a backward-compatible release line, features which use a new version of that dependency are very difficult to add.",1,3,"mostly vim and tkdiff, along with read-only enlistments of multiple branches for exploration.",4,26,24,23,22,24,24,,,3,2,3,4,2,3,3,,,,
,R_1C8QoWoPZaOAHhi,Default Response Set,Anonymous,,,0,1,1,2,,1,2,4,1,,,,,,,,,2,1,38,36,39,36,38,36,37,37,38,1,,1,,,2,,,,2,2,3,2,1,,,1,,,,1,17,16,13,14,13,13,13,14,14,16,,,1,4,"git, vim, build/make tools",1,25,25,25,25,25,25,22,,4,1,1,1,2,1,1,,,,
,R_2PATibKmFVrTokZ,Default Response Set,Anonymous,,,0,0,1,1,,1,3,1,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1jribmJFFkHNdEo,Default Response Set,Anonymous,,,0,0,1,,,3,2,3,1,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_0uGWD5Ps7Ddk8FP,Default Response Set,Anonymous,,,0,1,1,1,,1,3,1,1,,,,,,,,,5,1,38,39,39,40,39,36,38,38,37,1,,,,,1,3,4,5,,,,2,1,1,,,,,,1,16,17,16,14,15,15,16,16,15,15,,,1,2,"Git, diff",3,25,23,22,22,23,24,,,4,4,4,2,2,4,3,,,,
,R_2pS762ZIDf9EWPQ,Default Response Set,Anonymous,,,0,1,1,1,,2,3,2,1,,,,,,,,,5,1,39,38,39,38,39,37,39,38,38,,,1,,,2,,,,2,3,4,2,,,,1,,,,1,16,16,15,17,15,14,16,15,14,16,,,1,1,kdiff,2,26,25,24,24,23,25,,,4,3,3,3,3,4,3,,,,
,R_3NxNkMozk3ljxN1,Default Response Set,Anonymous,,,0,1,1,1,,1,2,2,1,,,,,,,,,6,1,37,37,38,38,38,38,39,37,38,1,,,,,2,,,,1,2,3,1,1,1,1,1,,,,1,16,16,13,14,15,13,13,15,14,16,,,1,2,"git, eclipse",2,25,25,24,23,23,25,,,5,2,3,1,2,4,1,,,,
,R_3nNlDrgKr8329p8,Default Response Set,Anonymous,,,0,1,1,1,,1,2,2,1,,,,,,,,,5,1,37,39,38,37,37,40,36,36,37,1,,,,,3,,,,,,,3,,,,,,,,1,14,16,13,13,15,13,16,13,16,14,,,1,,,2,23,23,22,22,22,24,,,3,1,4,4,3,5,2,,,,
,R_1QgYL9bfzS6dy5l,Default Response Set,Anonymous,,,0,1,1,1,,2,2,3,1,,,,,,,,1,5,1,37,37,40,36,40,36,39,36,40,,,1,,,1,1,2,4,,,,3,,,,,,,,1,17,17,15,17,16,14,15,17,17,17,,,1,3,Emacs + Ediff + Git-time-machine,4,26,26,24,24,26,26,,,4,1,1,5,3,5,1,,,,
,R_2rwLn7hPDcWm6Hx,Default Response Set,Anonymous,,,0,1,1,1,,4,2,3,1,1,,,,,,,1,2,1,38,38,39,38,38,38,38,37,40,1,1,1,,,1,2,3,4,,,,2,,1,,1,1,,,1,16,16,16,16,16,16,14,16,16,16,,,1,2,"merge utilty - winmerge, integrated tool in ide",2,24,24,24,24,24,24,,,3,4,4,4,4,4,4,,,,
,R_3h4uWlMm9BMVyMO,Default Response Set,Anonymous,,,0,1,1,1,,1,2,3,1,,,,,,,,,5,1,39,39,39,38,39,37,38,38,38,1,,1,,,1,3,4,4,,,,2,,1,,1,,,,1,16,16,15,15,16,15,15,16,14,16,,,1,1,I usually try to just replay my or their commits manually before retrying a merge/rebase (git) to minimize the conflict.,1,24,24,22,22,22,23,,,2,3,4,3,4,4,3,,,,
,R_3kvowXGwlsFocxX,Default Response Set,Anonymous,,,0,1,1,2,,1,2,2,1,,,,,,,,,5,1,37,38,38,38,38,37,38,38,38,1,,1,,,1,1,2,3,,,,2,1,1,1,,,,,1,16,15,15,16,15,15,16,15,15,16,,,1,1,meld,4,26,25,25,24,24,23,,,3,2,2,2,3,2,2,,,,
,R_8k6ukyEiCtsOHE9,Default Response Set,Anonymous,,,0,1,1,1,,2,3,2,1,1,,1,1,,,1,,5,1,38,40,39,40,37,37,38,36,38,1,1,,,,2,,,,1,3,4,1,,1,1,1,,,,1,17,16,13,14,14,14,16,15,16,17,2,,1,4,"git, atom, vim, github",3,26,24,23,22,23,26,,,4,2,5,5,3,5,2,,,,
,R_3plo9yPNL4FgjF7,Default Response Set,Anonymous,,,0,1,1,1,,2,2,2,1,,,,,,,1,1,2,1,38,40,40,39,39,38,39,37,38,,,1,,,2,,,,2,4,5,2,,1,,1,,,,1,16,17,16,17,16,16,17,17,17,15,,,1,1,WinMerge,3,26,26,25,25,23,23,,,3,5,4,4,5,4,4,,,,
,R_ZDDbTScsyjAGfVT,Default Response Set,Anonymous,,,0,1,1,1,,2,2,2,1,,,,,1,Data scientist,,,5,1,40,37,38,38,38,39,37,40,38,1,1,,,,2,,,,1,3,4,3,,,,,,,,1,17,16,17,14,17,17,15,16,17,15,,,1,3,"Meld,gitg,gitkraken",2,26,26,26,25,25,26,,,4,4,5,4,4,3,4,,,,
,R_3G0t6JRilVnsyhu,Default Response Set,Anonymous,,,0,1,1,1,,3,3,3,,,,,,1,Middle FullStack Developer,,,6,1,38,38,38,37,38,39,37,38,37,1,1,1,,,2,,,,1,3,4,3,,,,,,,,1,14,15,15,13,15,15,14,14,14,14,,,1,2,WinMerge and Gitbash,2,25,25,24,24,23,24,,,3,4,4,4,4,5,3,,,,
,R_xgC1sYokBrQuD29,Default Response Set,Anonymous,,,0,1,1,1,,1,2,2,1,,,,,,,,,1,1,37,38,37,38,39,40,39,38,38,,,1,,,2,,,,2,3,4,3,,,,,,,,1,15,15,13,16,14,13,14,14,15,17,,,1,4,"text editor, terminal, database importer, binary generators",4,24,24,24,24,24,25,,,4,2,3,1,3,3,3,,,,
,R_2eOvbHY6SopHZ4Q,Default Response Set,Anonymous,,,0,1,1,1,,1,2,2,1,,,,,,,,1,2,1,36,38,40,38,40,37,40,40,40,1,1,1,,,1,1,2,4,,,,3,,,,,,,,1,17,17,16,14,16,17,13,17,14,17,,,1,3,"tig, 3-way diffs generated by git, sublime text 3.",1,26,26,26,26,26,26,,,5,1,4,4,2,1,1,,,,
,R_2viba6QsMaStFqj,Default Response Set,Anonymous,,,0,0,1,1,,3,1,1,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2zA3Hr2pbykY0wz,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2dVXllKWKvffsPv,Default Response Set,Anonymous,,,0,0,1,1,,1,2,3,1,,,,,,,,,3,1,38,39,39,37,39,37,39,36,37,1,,1,,,1,2,3,4,,,,1,1,,1,1,,1,They dont speak ENGLISH!,1,15,16,14,15,14,14,14,14,15,16,,,,,,,,,,,,,,,,,,,,,,,,,
,R_PHXKbOXe7sCKg3D,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_1QnFZfR9FZJkzUx,Default Response Set,Anonymous,,,0,1,1,1,,2,1,2,1,,,,,,,,,5,1,38,39,37,37,38,37,37,38,38,1,,,,,1,,,,,,,2,,1,,,,,,1,16,16,16,16,15,16,14,14,16,16,,,1,,,1,23,22,22,22,22,22,,,2,2,2,4,2,3,2,,,,
,R_4ZuxrKhtN2jX6md,Default Response Set,Anonymous,,,0,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,R_emOQgfMffAi0PUl,Default Response Set,Anonymous,,,8,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,R_1llTr9cw3Z4LXWg,Default Response Set,Anonymous,,,0,0,1,1,,2,2,2,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2qaSBTdVhEv6u6p,Default Response Set,Anonymous,,,0,1,1,2,,1,2,3,1,,,,,,,,,2,1,38,38,39,39,39,37,38,37,38,,1,1,,,1,2,3,4,,,,2,,,1,,1,,,1,16,16,15,15,16,15,15,15,15,15,,,1,2,"Git, IntelliJ IDE",2,26,25,25,24,23,24,,,3,2,4,4,4,4,3,,,,
,R_3hsFfluiUuYQUJc,Default Response Set,Anonymous,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_10wT1xoV3cIfW5l,Default Response Set,Anonymous,,,0,0,1,1,,2,3,2,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R_2SqN6moA3tXlng8,Default Response Set,Anonymous,,,0,1,1,5,,3,3,4,,,,,,,,,1,2,1,37,38,38,38,38,39,38,40,38,,,1,,,1,2,3,4,,,,2,1,,,1,,,,1,16,15,14,16,16,14,17,17,16,16,,,1,2,"Gitlab, commandline diff tooling.",3,24,24,24,24,24,24,24,,4,4,4,4,3,3,3,,,,
,R_9ZbXGco4T0O51Dz,Default Response Set,Anonymous,,,0,1,1,1,,4,3,3,1,,,,1,,,1,1,2,1,38,38,38,38,37,39,38,37,39,,,1,,,1,,,,,,,1,1,1,1,1,,,,1,17,17,16,17,17,17,15,16,17,16,1,Too much complexity involved due to incompatible dependences. ,1,1,Xdiff ,2,24,23,23,22,23,25,24,,3,4,5,4,5,5,5,,,,
,R_1jV9drRscpkRgH8,Default Response Set,Anonymous,,,0,1,1,1,,4,2,4,1,,,,,,,1,,5,1,37,39,39,38,39,39,40,40,39,1,,,,,1,2,4,5,,,,3,,,,,,,,1,16,17,17,17,17,15,17,17,17,17,,,1,1,K3diff,2,25,25,23,23,22,24,,,3,4,4,5,5,5,5,,,,
,R_2lSzV8ITMME6K3P,Default Response Set,Anonymous,,,0,1,1,1,,4,2,4,1,,1,,,,,1,1,3,1,37,37,39,39,39,38,37,38,38,,1,,,,2,,,,2,3,4,3,,,,,,,,1,14,16,13,14,17,16,16,14,14,14,,,1,3,"vim, IntelliJ, git",1,26,25,26,24,26,26,,,5,,,,,,,,,,
,R_0IKlo7yj1Y9txRf,Default Response Set,Anonymous,,,0,1,1,1,,1,2,2,1,,,,,,,1,,5,1,38,38,39,38,39,37,38,40,39,,,1,,,1,2,3,4,,,,2,1,,,,1,,,1,16,16,17,16,17,16,17,17,15,16,,,1,3,"Normal code editor, Kaleidoscope merge tool, sometimes kdiff3",2,25,25,25,24,24,25,,,3,3,3,4,4,5,3,,,,
,R_2dXtmF3U4Q4Kn36,Default Response Set,Anonymous,,,0,1,1,1,,2,2,3,1,,1,,,,,,1,5,1,38,38,37,38,38,37,37,37,39,1,,,,,1,2,3,4,,,,2,,,,1,,,,1,15,16,14,16,14,14,14,15,17,14,,,1,2,"IntellJ, Git Kranker",2,25,25,25,25,23,23,22,,4,4,4,3,4,4,5,,,,
,R_2PCkgZrJ6lWMh6A,Default Response Set,Anonymous,,,0,1,1,1,,4,2,2,1,1,,,,,,1,1,2,1,37,38,39,39,39,38,39,39,39,,1,,,,1,,,,,,,1,,1,,,,,,1,16,16,15,16,16,16,15,16,16,16,,,1,3,"Kdiff3, git diff, diff tool of IDE ",2,25,25,24,23,22,24,,,4,4,4,4,4,3,4,,,,
,R_eRJf0lvIM73ZwGZ,Default Response Set,Anonymous,,,0,1,1,1,,2,3,2,1,,,,,,,1,,2,1,38,39,39,37,37,39,40,38,40,1,1,1,,,2,,,,2,3,4,1,1,1,,1,,,,1,17,16,16,16,17,15,14,16,15,16,,,1,4,"Git, SourceTree, DiffMerge, Email/Phone",1,26,26,26,25,24,26,,,5,2,4,4,3,5,2,,,,
,R_2aRVPuPFAdHrxTo,Default Response Set,Anonymous,,,0,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,R_1mVPcI2dLWYqdb1,Default Response Set,Anonymous,,,0,1,1,,,1,2,2,1,,,,,,,,,2,1,37,37,37,37,37,36,37,37,38,1,1,1,,,1,2,3,4,,,,3,,,,,,,,1,15,14,14,14,15,15,14,15,13,15,,,1,2,"GitKraken, text editor",1,26,25,24,24,23,25,,,3,4,4,4,4,4,3,,,,
